loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.5264,10.771181106567383,2.998321285415739e-05,0.0,50,,,,,,,,,
0.4734,7.391707420349121,2.996608311350166e-05,0.0,100,,,,,,,,,
0.3572,7.702418804168701,2.9948953372845935e-05,0.01,150,,,,,,,,,
0.3467,5.175136566162109,2.993182363219021e-05,0.01,200,,,,,,,,,
0.3084,11.650408744812012,2.991469389153448e-05,0.01,250,,,,,,,,,
0.2554,7.571227073669434,2.9897564150878758e-05,0.01,300,,,,,,,,,
0.2265,15.15190315246582,2.9880434410223033e-05,0.01,350,,,,,,,,,
0.2177,2.989151954650879,2.9863304669567304e-05,0.01,400,,,,,,,,,
0.2309,5.320489406585693,2.9846174928911578e-05,0.02,450,,,,,,,,,
0.2186,14.181560516357422,2.982904518825585e-05,0.02,500,,,,,,,,,
0.2196,4.919040203094482,2.9811915447600123e-05,0.02,550,,,,,,,,,
0.2328,7.166252136230469,2.9794785706944398e-05,0.02,600,,,,,,,,,
0.1991,5.593552589416504,2.9777655966288672e-05,0.02,650,,,,,,,,,
0.2388,6.45720911026001,2.9760526225632947e-05,0.02,700,,,,,,,,,
0.2219,5.568617343902588,2.9743396484977218e-05,0.03,750,,,,,,,,,
0.1909,7.001163482666016,2.9726266744321492e-05,0.03,800,,,,,,,,,
0.1799,0.8541871309280396,2.9709137003665767e-05,0.03,850,,,,,,,,,
0.2297,7.381222724914551,2.9692007263010038e-05,0.03,900,,,,,,,,,
0.2349,4.070229530334473,2.9674877522354312e-05,0.03,950,,,,,,,,,
0.193,5.050867557525635,2.9657747781698583e-05,0.03,1000,,,,,,,,,
0.1859,5.799050807952881,2.964061804104286e-05,0.04,1050,,,,,,,,,
0.188,6.846146583557129,2.9623488300387135e-05,0.04,1100,,,,,,,,,
0.2158,5.8386712074279785,2.9606358559731406e-05,0.04,1150,,,,,,,,,
0.2218,1.7331221103668213,2.958922881907568e-05,0.04,1200,,,,,,,,,
0.2001,2.142868995666504,2.9572099078419952e-05,0.04,1250,,,,,,,,,
0.1653,4.071846961975098,2.9554969337764226e-05,0.04,1300,,,,,,,,,
0.1642,1.827299952507019,2.95378395971085e-05,0.05,1350,,,,,,,,,
0.2022,10.965855598449707,2.9520709856452775e-05,0.05,1400,,,,,,,,,
0.1672,20.273841857910156,2.950358011579705e-05,0.05,1450,,,,,,,,,
0.201,5.9094038009643555,2.948645037514132e-05,0.05,1500,,,,,,,,,
0.1716,7.593799591064453,2.9469320634485595e-05,0.05,1550,,,,,,,,,
0.188,3.359576940536499,2.945219089382987e-05,0.05,1600,,,,,,,,,
